Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Result,Total Score
1,1,0,3,2,2,0,2,3,0,1,3,3,2,0,3,3,2,3,2,Severe,36
0,3,0,3,1,3,2,1,0,1,3,1,3,3,0,2,3,2,3,3,Severe,37
1,2,0,0,2,0,2,3,1,1,1,0,2,3,0,1,0,3,1,0,Moderate,23
3,3,0,0,2,3,0,0,0,3,3,3,3,2,3,3,0,0,0,0,Severe,31
3,0,0,0,0,0,2,3,3,0,3,2,1,0,3,1,1,2,2,3,Moderate,29
0,2,1,1,1,1,0,2,1,1,0,3,3,1,0,2,0,2,1,1,Moderate,23
3,3,0,2,0,0,3,2,2,1,3,1,2,2,3,1,1,3,1,2,Severe,35
1,2,2,3,1,0,1,3,1,2,2,3,0,0,0,2,1,0,2,2,Moderate,28
0,1,0,3,1,3,0,0,3,2,2,0,3,0,3,2,0,3,3,1,Moderate,30
3,3,2,1,3,1,3,1,0,0,3,2,3,2,3,2,0,1,1,0,Severe,34
3,1,3,3,2,0,0,2,0,2,1,0,2,1,1,3,1,1,1,1,Moderate,28
1,2,3,3,3,1,1,2,2,2,1,0,2,1,2,0,0,2,1,2,Severe,31
2,3,3,0,0,0,1,0,1,2,3,1,1,0,0,0,1,0,1,3,Moderate,22
3,3,1,0,3,3,0,3,0,1,0,1,3,2,3,0,0,1,1,0,Moderate,28
1,2,2,2,0,2,1,2,0,2,2,0,1,3,2,3,0,2,3,1,Severe,31
0,1,1,2,3,0,2,0,1,2,2,0,1,0,0,2,1,1,1,2,Moderate,22
2,3,0,1,1,1,1,1,0,2,0,0,2,1,1,3,1,1,1,2,Moderate,24
3,3,2,0,2,2,2,0,1,0,0,3,0,1,0,0,1,1,2,3,Moderate,26
1,0,2,2,3,1,1,0,3,2,1,1,1,1,3,1,3,2,2,1,Severe,31
0,1,3,1,1,3,1,1,1,2,1,2,2,3,0,1,2,2,3,2,Severe,32
0,0,2,1,0,2,3,0,0,0,0,3,1,3,3,0,2,2,3,3,Moderate,28
1,0,3,2,0,3,2,2,3,1,3,3,3,3,3,2,2,1,2,0,Severe,39
1,2,3,0,1,0,0,3,2,1,2,3,0,1,2,3,0,0,1,2,Moderate,27
2,2,0,1,0,3,3,3,0,1,3,1,0,0,1,2,0,3,3,1,Moderate,29
0,2,3,0,0,2,0,3,3,0,1,2,1,2,0,0,0,1,0,3,Moderate,23
3,1,2,1,3,3,3,0,1,2,2,3,0,0,0,1,2,3,2,2,Severe,34
1,1,3,1,0,3,1,2,0,3,2,1,1,0,0,0,1,1,1,1,Moderate,23
0,0,1,0,1,0,3,3,1,3,2,2,0,1,2,1,1,0,3,3,Moderate,27
1,3,3,3,2,2,2,0,2,1,1,3,3,3,0,0,3,3,2,1,Severe,38
2,2,1,1,0,1,1,2,1,1,3,3,3,3,3,2,1,3,0,0,Severe,33
0,1,3,3,1,3,2,3,1,2,2,2,3,1,2,2,3,2,1,2,Severe,39
0,2,2,2,3,1,1,3,1,2,3,2,2,2,3,0,1,3,3,3,Severe,39
1,2,0,0,1,1,2,1,0,3,3,1,2,0,1,1,1,2,0,0,Moderate,22
1,1,0,3,2,3,1,2,3,1,0,3,2,3,2,0,3,0,3,0,Severe,33
0,2,1,0,2,1,1,1,1,2,0,1,0,3,3,1,1,3,1,3,Moderate,27
0,2,3,2,0,0,3,2,1,0,3,1,3,1,2,1,3,1,0,2,Moderate,30
2,0,0,3,1,2,1,0,1,1,3,1,2,2,0,1,0,1,1,1,Moderate,23
2,1,0,1,2,2,3,0,0,1,2,1,3,2,3,3,0,0,0,0,Moderate,26
2,1,0,0,0,0,0,0,0,0,1,2,0,2,2,1,3,3,2,0,Borderline,19
0,0,2,0,1,2,2,0,3,0,1,1,1,2,0,0,3,2,2,3,Moderate,25
2,0,3,1,3,2,2,1,0,2,0,1,2,2,1,1,1,0,3,3,Moderate,30
3,2,1,1,2,0,0,2,0,0,1,1,2,3,0,2,3,0,3,0,Moderate,26
1,2,0,3,3,3,0,2,0,0,0,1,3,2,2,2,1,1,2,0,Moderate,28
0,0,1,0,2,3,2,0,1,2,2,2,2,1,0,2,0,3,1,2,Moderate,26
0,1,2,2,0,3,2,1,1,0,2,3,3,2,3,1,3,3,0,2,Severe,34
3,1,3,3,2,1,2,3,3,1,0,2,3,2,2,3,3,1,0,3,Extreme,41
3,2,1,1,1,3,2,2,1,1,2,3,1,1,0,3,2,2,3,1,Severe,35
3,2,1,1,0,1,0,1,1,2,2,0,2,2,3,3,3,0,2,3,Severe,32
2,0,0,0,1,0,0,1,0,3,1,0,3,0,2,2,2,2,2,0,Moderate,21
2,3,1,2,2,3,1,1,1,3,1,0,2,0,2,2,2,0,3,1,Severe,32
0,3,3,1,3,0,3,2,3,2,3,2,3,0,3,0,1,2,0,0,Severe,34
3,2,0,0,2,3,2,0,1,3,0,3,0,1,0,1,1,2,0,0,Moderate,24
0,0,1,2,1,2,2,3,0,2,3,0,1,3,0,2,3,1,2,2,Moderate,30
3,1,0,3,3,2,3,3,2,3,1,3,2,0,0,2,0,0,3,0,Severe,34
2,3,1,1,0,1,3,0,0,2,3,3,1,3,2,0,1,0,0,1,Moderate,27
3,1,0,1,1,0,1,3,1,0,2,0,1,1,2,3,1,0,0,1,Moderate,22
0,1,0,3,0,1,2,0,3,3,0,2,2,2,1,3,3,1,0,2,Moderate,29
3,2,1,3,0,0,3,1,2,0,2,2,0,1,2,3,3,0,1,2,Severe,31
1,3,1,1,0,1,2,0,3,0,1,3,0,1,2,0,0,3,0,2,Moderate,24
0,0,0,2,0,3,3,3,2,2,1,0,3,0,0,1,2,3,0,0,Moderate,25
0,2,0,1,0,2,2,1,3,1,3,1,0,1,3,1,2,3,0,1,Moderate,27
3,2,3,3,3,1,0,1,1,1,3,2,0,0,2,0,0,2,3,0,Moderate,30
0,3,0,0,0,2,0,2,2,0,3,3,1,0,0,0,1,0,3,3,Moderate,23
1,0,2,0,2,1,1,2,2,2,3,0,0,0,1,3,1,1,1,1,Moderate,24
3,2,0,2,1,3,3,1,3,2,3,1,1,1,2,3,3,3,2,1,Severe,40
3,1,0,0,1,1,1,2,1,3,3,3,1,1,0,2,1,2,0,1,Moderate,27
2,2,3,3,2,3,1,1,0,3,1,0,3,1,1,3,3,0,2,1,Severe,35
1,0,2,3,3,0,2,3,2,3,1,1,0,0,3,1,0,3,1,0,Moderate,29
2,2,0,2,3,3,2,1,3,0,3,0,3,2,3,0,3,0,1,1,Severe,34
1,3,1,1,1,2,2,2,1,0,0,3,0,0,1,0,1,0,0,1,Borderline,20
3,0,0,3,2,3,0,2,0,0,0,3,0,0,2,0,3,2,2,0,Moderate,25
1,0,1,2,1,2,0,2,3,0,3,0,1,1,0,3,3,1,3,0,Moderate,27
2,2,0,2,1,3,0,1,2,3,3,3,2,3,2,2,2,1,0,3,Severe,37
1,2,2,0,0,2,2,2,0,2,3,3,0,0,3,2,1,0,0,3,Moderate,28
3,1,1,2,0,0,2,1,1,3,1,1,1,0,2,2,2,2,2,1,Moderate,28
2,0,3,3,1,2,0,0,0,3,1,1,1,0,0,0,1,2,3,1,Moderate,24
2,2,0,3,3,3,3,2,1,0,0,2,3,1,1,2,3,1,1,0,Severe,33
2,0,1,0,0,2,1,1,2,1,3,3,1,0,1,2,0,1,1,3,Moderate,25
0,2,3,3,2,2,0,2,3,1,0,2,0,3,2,2,1,0,0,1,Moderate,29
3,1,2,1,3,1,3,1,1,2,0,3,0,3,1,1,3,2,3,1,Severe,35
0,2,1,3,1,2,0,0,3,3,3,1,0,3,0,3,3,3,0,3,Severe,34
0,1,1,1,3,3,3,0,0,1,3,3,3,3,0,3,1,1,1,0,Severe,31
1,2,2,0,2,3,0,2,3,2,0,2,1,1,0,1,1,0,3,0,Moderate,26
1,0,0,2,3,1,1,1,1,2,0,1,1,3,0,1,1,2,1,0,Moderate,22
0,0,2,0,1,1,0,1,0,1,0,3,0,0,3,2,1,2,0,2,Borderline,19
1,1,1,0,3,2,3,2,1,1,1,0,2,0,0,1,2,0,3,2,Moderate,26
2,1,3,2,3,1,2,0,1,1,3,2,0,2,2,0,2,0,2,3,Severe,32
2,3,3,2,1,1,2,2,2,3,3,1,3,1,1,1,1,0,3,3,Severe,38
2,0,3,0,0,3,1,2,2,1,1,1,2,3,2,2,0,2,0,3,Moderate,30
3,3,3,3,1,0,0,1,1,0,0,3,1,3,3,1,1,3,2,3,Severe,35
0,3,0,2,1,1,2,1,3,1,2,0,2,2,2,1,0,3,0,2,Moderate,28
1,3,0,1,1,0,0,0,2,0,2,0,2,0,2,2,2,0,3,1,Moderate,22
1,0,3,0,1,2,2,0,2,3,2,0,3,0,3,0,1,1,0,3,Moderate,27
2,3,2,1,0,3,3,0,1,2,0,3,0,2,3,0,0,2,1,2,Moderate,30
2,0,2,1,2,2,0,3,3,2,0,1,2,0,0,2,1,2,0,1,Moderate,26
3,2,0,0,3,0,0,0,1,3,2,0,3,1,2,0,2,2,2,0,Moderate,26
2,1,1,0,1,0,3,3,0,1,0,2,2,2,3,3,0,3,0,3,Moderate,30
0,2,1,0,0,0,1,0,0,2,3,3,1,0,3,3,1,3,2,1,Moderate,26
0,3,1,0,1,3,3,0,1,2,2,2,2,0,2,3,2,3,2,0,Severe,32
3,3,1,1,2,0,3,0,3,3,0,3,0,2,3,3,2,1,3,3,Severe,39
3,1,1,0,3,0,1,2,2,2,3,2,3,0,3,3,2,1,1,1,Severe,34
1,0,0,3,0,0,0,3,3,0,2,3,2,0,0,0,2,2,2,0,Moderate,23
0,3,0,2,0,0,3,0,2,3,1,1,0,1,2,0,2,3,3,1,Moderate,27
0,2,3,0,2,2,3,0,3,2,0,0,1,0,2,3,2,3,2,3,Severe,33
2,2,3,0,2,1,1,0,2,3,2,3,1,0,1,3,1,2,3,3,Severe,35
2,3,1,2,0,0,0,1,2,0,1,2,1,2,1,0,1,2,0,2,Moderate,23
0,1,3,1,0,2,3,3,1,0,0,0,3,0,0,1,3,1,1,2,Moderate,25
0,3,0,0,1,0,2,2,3,3,0,0,2,0,2,3,2,1,1,3,Moderate,28
1,2,3,0,2,2,2,2,1,3,1,1,2,2,2,2,3,0,3,3,Severe,37
0,1,1,3,2,0,1,1,3,0,3,1,3,3,0,3,1,2,1,3,Severe,32
1,3,3,2,3,2,1,3,3,3,0,3,3,3,3,0,1,0,3,0,Severe,40
1,3,3,0,1,3,2,1,0,2,0,2,2,0,1,3,1,0,3,3,Severe,31
1,0,2,3,0,1,2,1,1,2,2,2,3,2,3,1,2,2,1,2,Severe,33
0,1,1,3,2,0,1,1,1,3,1,2,1,1,2,3,2,0,2,3,Moderate,30
3,0,1,1,2,3,2,0,3,1,1,0,3,0,1,1,0,0,3,1,Moderate,26
1,1,1,2,1,2,1,0,3,2,2,0,0,3,3,1,0,2,0,3,Moderate,28
3,3,2,3,3,1,1,3,2,3,1,3,3,2,2,2,3,2,0,3,Extreme,45
3,0,2,3,1,3,2,2,2,2,2,2,2,3,1,3,2,1,2,0,Severe,38
3,0,3,2,0,3,3,2,3,0,2,0,2,1,0,0,1,0,1,2,Moderate,28
0,2,0,0,3,2,2,3,2,2,2,2,2,0,1,1,1,3,3,1,Severe,32
2,3,0,3,0,0,0,3,3,2,2,0,2,3,1,3,1,1,3,3,Severe,35
0,3,1,2,0,3,0,1,0,3,0,0,3,0,3,3,0,3,2,3,Moderate,30
1,1,3,1,3,0,1,2,2,1,1,0,3,3,1,2,3,3,0,3,Severe,34
1,3,2,3,3,3,1,0,2,0,2,3,0,1,0,2,0,2,0,0,Moderate,28
3,1,0,2,2,2,3,1,1,0,0,0,3,2,2,1,1,1,1,1,Moderate,27
3,3,0,3,1,3,3,0,3,1,2,1,3,3,2,0,1,2,2,0,Severe,36
3,0,3,1,1,1,1,1,3,3,2,1,1,2,0,1,2,3,0,3,Severe,32
3,3,1,1,0,1,1,2,1,0,3,1,1,3,3,3,1,0,3,1,Severe,32
3,3,2,3,3,2,2,1,2,2,0,0,1,3,2,3,1,2,3,1,Severe,39
3,3,2,3,3,3,2,3,1,3,2,3,3,2,1,1,3,1,0,3,Extreme,45
3,1,0,0,3,3,1,0,2,3,1,1,3,1,3,1,2,1,3,1,Severe,33
1,2,0,2,2,0,1,2,2,0,0,0,3,1,2,2,2,3,3,3,Severe,31
3,3,2,2,1,2,1,2,2,1,0,0,0,1,2,1,1,0,2,0,Moderate,26
0,1,2,0,1,1,0,3,2,3,2,3,1,0,0,2,0,1,3,2,Moderate,27
0,3,2,2,3,1,2,2,3,2,0,2,0,0,1,2,0,2,2,3,Severe,32
0,1,1,0,2,1,3,1,3,0,0,2,3,2,1,1,0,3,0,0,Moderate,24
2,3,1,2,3,0,1,2,2,3,2,3,0,3,2,1,3,3,2,0,Severe,38
2,0,0,3,1,1,1,0,2,0,3,1,2,1,2,0,0,0,1,3,Moderate,23
1,1,3,3,1,0,2,3,1,1,2,1,3,0,1,0,2,0,1,1,Moderate,27
3,3,0,0,1,1,3,2,2,0,3,2,3,0,1,0,0,3,2,3,Severe,32
2,1,2,2,2,2,3,1,0,0,1,3,3,0,2,1,2,3,0,3,Severe,33
1,3,0,1,3,1,1,0,2,1,0,0,2,2,1,3,2,3,1,1,Moderate,28
0,3,0,3,2,3,0,1,3,2,2,2,0,3,1,2,3,3,1,2,Severe,36
1,1,2,1,2,0,3,3,1,2,1,1,2,3,3,1,2,0,0,0,Moderate,29
1,1,1,1,2,2,2,2,3,0,2,3,3,3,1,0,1,3,2,3,Severe,36
2,0,3,3,1,1,3,1,3,0,0,3,1,1,3,0,3,2,0,3,Severe,33
2,0,3,0,0,1,1,0,3,0,0,1,2,0,1,2,2,1,1,3,Moderate,23
0,2,1,1,3,2,2,2,1,1,1,1,0,2,2,2,1,3,1,2,Moderate,30
0,1,3,0,0,2,2,2,2,0,3,1,1,2,3,0,3,0,1,1,Moderate,27
1,0,2,2,2,0,2,3,3,2,1,0,3,3,2,0,3,2,3,2,Severe,36
2,2,1,2,3,2,2,1,1,2,1,2,1,0,3,1,0,1,2,3,Severe,32
1,2,1,3,1,2,2,2,3,0,2,0,0,2,3,3,2,1,2,3,Severe,35
1,1,0,2,2,3,2,0,3,2,1,0,0,3,2,1,1,2,1,0,Moderate,27
1,1,2,3,2,3,3,2,3,2,3,1,1,2,2,1,3,2,3,3,Extreme,43
3,0,0,1,2,1,2,2,3,3,1,0,3,1,0,3,2,3,2,1,Severe,33
2,0,1,0,2,1,2,1,3,3,3,3,3,0,1,3,0,1,2,1,Severe,32
0,2,3,2,1,1,2,2,0,1,3,1,2,2,3,2,3,1,3,0,Severe,34
2,3,2,0,1,3,0,2,3,0,2,3,0,2,1,2,0,0,0,1,Moderate,27
2,2,0,2,3,0,2,1,3,0,0,1,3,1,0,0,1,0,1,3,Moderate,25
0,0,3,2,1,1,3,3,2,1,0,2,1,0,2,3,0,3,1,1,Moderate,29
1,3,3,3,0,0,1,1,3,3,1,0,2,3,1,0,2,1,0,0,Moderate,28
1,0,0,0,1,2,0,0,3,3,3,2,2,1,0,2,3,1,3,0,Moderate,27
1,2,3,2,0,0,1,2,2,0,3,3,3,1,0,0,1,3,2,3,Severe,32
2,3,3,1,2,2,2,2,2,3,1,1,1,2,3,2,2,2,0,3,Severe,39
0,0,2,3,3,3,2,2,1,0,1,2,1,2,3,2,0,2,0,1,Moderate,30
0,0,1,3,0,0,1,2,2,0,1,0,0,1,2,1,0,0,3,3,Borderline,20
1,1,0,2,3,1,3,2,0,2,0,1,1,2,0,3,0,3,2,3,Moderate,30
3,0,1,0,1,2,0,2,3,0,3,0,3,1,3,3,2,0,1,3,Severe,31
1,1,0,3,0,1,3,0,3,3,3,1,0,2,0,3,3,2,2,1,Severe,32
0,2,3,3,3,1,0,2,2,2,1,3,2,3,2,1,3,3,0,0,Severe,36
0,2,1,0,0,2,3,0,0,3,2,1,2,3,2,0,0,2,1,3,Moderate,27
2,2,2,0,3,3,2,2,3,3,0,0,3,1,0,3,1,2,2,3,Severe,37
2,0,1,2,1,3,0,3,3,1,3,3,1,3,3,2,3,2,0,0,Severe,36
2,1,0,0,3,0,0,0,1,0,0,2,2,3,0,3,3,0,1,3,Moderate,24
3,1,2,0,0,3,1,2,3,0,0,0,3,3,3,2,2,0,0,1,Moderate,29
1,0,1,0,1,0,3,2,3,2,0,1,1,1,3,1,0,3,1,2,Moderate,26
1,2,3,2,0,3,0,1,3,0,0,2,3,1,0,3,1,1,2,3,Severe,31
3,0,2,2,0,0,1,3,3,2,0,0,0,1,1,2,2,0,1,0,Moderate,23
3,3,2,2,1,1,2,2,0,3,2,3,2,2,3,2,0,2,3,3,Extreme,41
3,0,1,1,3,0,3,1,2,2,2,1,0,2,1,0,1,1,2,1,Moderate,27
2,0,2,0,1,2,3,0,0,1,3,2,3,3,2,1,3,2,1,1,Severe,32
3,3,1,2,3,0,2,1,3,0,3,3,2,0,1,0,0,2,2,2,Severe,33
2,1,2,2,1,0,3,2,3,3,2,0,2,1,2,0,1,2,0,1,Moderate,30
1,2,0,0,3,3,0,3,1,1,0,2,3,0,2,1,2,1,2,2,Moderate,29
3,0,3,3,2,0,2,1,3,0,0,3,1,2,1,2,2,0,0,3,Severe,31
2,1,1,2,0,3,0,1,0,3,0,1,0,3,2,2,3,1,0,1,Moderate,26
3,2,2,0,1,0,3,3,1,2,1,2,1,1,3,0,1,0,0,3,Moderate,29
3,3,1,3,0,1,1,3,0,2,0,2,0,2,2,3,2,0,1,1,Moderate,30
1,1,1,2,2,2,2,0,3,3,2,0,1,2,2,2,1,2,1,2,Severe,32
1,3,0,3,0,3,0,1,3,2,3,2,3,2,1,2,0,1,0,3,Severe,33
3,1,3,3,3,2,0,0,3,3,3,1,3,2,0,2,0,3,3,2,Severe,40
1,1,2,0,1,2,3,2,0,2,1,3,2,1,2,3,1,0,3,2,Severe,32
3,2,2,3,1,3,1,3,0,1,3,2,0,3,2,3,0,2,2,3,Severe,39
2,0,2,0,2,3,2,3,3,1,1,0,1,0,3,2,0,0,2,0,Moderate,27
3,3,2,0,0,1,3,3,2,2,1,1,1,0,0,0,1,2,0,1,Moderate,26
2,1,2,3,3,1,3,1,1,2,2,0,3,2,1,1,3,3,1,2,Severe,37
0,0,3,1,0,2,3,2,1,0,3,3,2,0,1,1,3,0,0,2,Moderate,27
2,1,2,2,2,0,0,0,2,1,0,3,1,1,3,2,3,1,0,0,Moderate,26
2,0,3,2,1,0,1,3,2,0,1,1,3,2,1,3,2,2,1,2,Severe,32
2,3,0,3,1,0,2,3,2,1,3,1,3,1,2,2,1,3,0,3,Severe,36
1,0,3,1,0,2,1,0,1,3,3,1,0,2,2,1,0,1,1,0,Moderate,23
1,1,2,1,2,2,2,2,3,3,0,1,0,0,2,3,1,1,3,1,Severe,31
0,3,0,3,0,3,3,1,2,1,1,2,2,3,3,1,0,1,0,1,Moderate,30
0,1,2,1,3,2,3,3,3,1,0,1,2,2,3,2,3,1,1,3,Severe,37
0,0,1,3,2,3,2,0,0,2,2,0,0,3,0,3,0,2,3,3,Moderate,29
3,3,1,3,2,1,1,1,2,3,2,0,2,2,0,2,3,1,1,0,Severe,33
1,3,3,3,1,2,1,0,1,2,2,2,0,0,2,2,3,0,1,1,Moderate,30
1,1,1,3,2,2,2,3,3,1,0,0,3,0,2,1,1,1,1,2,Moderate,30
1,1,2,1,1,0,2,3,3,0,1,1,0,1,0,3,3,1,3,3,Moderate,30
1,3,3,1,2,1,3,0,2,3,0,3,0,3,3,1,0,0,2,3,Severe,34
1,1,3,3,2,0,2,0,0,2,2,0,0,3,0,1,1,0,3,3,Moderate,27
2,2,2,3,0,3,1,0,1,2,0,2,2,3,0,1,0,0,0,2,Moderate,26
2,1,3,0,2,1,3,1,1,2,2,2,0,2,0,0,2,2,0,1,Moderate,27
0,2,3,1,1,1,1,1,0,3,1,3,3,0,0,3,2,3,0,2,Moderate,30
3,0,2,2,3,2,2,2,1,2,3,1,1,1,0,1,3,0,3,3,Severe,35
1,2,3,3,0,0,3,0,1,3,3,3,3,1,0,2,2,1,3,2,Severe,36
3,2,2,0,0,3,2,3,1,2,1,2,1,2,1,2,1,1,3,1,Severe,33
1,3,3,0,2,3,3,2,3,3,1,0,0,2,3,1,2,1,0,1,Severe,34
2,1,0,3,2,2,3,1,2,1,3,3,0,3,2,1,0,0,1,3,Severe,33
0,1,0,3,2,1,3,3,3,0,2,3,3,0,0,3,3,3,0,3,Severe,36
1,2,3,0,3,1,1,1,0,1,2,0,0,2,0,2,3,0,1,0,Moderate,23
1,0,2,2,2,1,2,1,0,2,1,1,0,2,0,3,1,0,2,3,Moderate,26
1,3,2,0,1,2,2,1,0,0,3,2,2,3,3,0,3,3,3,0,Severe,34
0,3,2,3,1,2,2,0,0,0,2,1,1,1,0,0,3,0,3,2,Moderate,26
0,0,0,3,1,3,2,0,0,1,3,1,0,2,0,0,2,3,3,3,Moderate,27
2,1,0,1,3,2,0,3,1,0,0,3,2,1,1,0,0,1,0,1,Moderate,22
3,2,2,3,2,3,2,3,3,1,0,0,1,2,3,1,1,3,1,2,Severe,38
0,3,2,2,0,3,2,2,3,0,2,1,1,1,3,2,2,2,2,0,Severe,33
2,2,0,1,2,1,3,3,2,1,0,3,2,1,3,3,2,0,2,0,Severe,33
0,3,1,2,0,3,2,3,3,3,0,1,1,2,0,0,1,1,1,0,Moderate,27
0,0,0,1,1,3,0,0,2,3,1,0,0,3,1,1,0,3,0,0,Borderline,19
0,3,0,1,2,0,2,2,3,0,0,2,0,1,1,1,0,0,2,3,Moderate,23
1,2,0,1,1,0,2,3,1,0,2,1,2,0,1,1,1,1,1,3,Moderate,24
1,3,0,3,3,3,2,0,2,0,0,1,1,2,3,3,1,1,3,2,Severe,34
2,1,1,0,2,1,2,3,0,1,3,0,2,3,0,3,3,2,3,2,Severe,34
1,1,2,2,2,2,2,0,2,0,2,0,2,2,1,2,1,1,3,3,Severe,31
1,3,2,0,3,2,1,1,0,1,2,2,0,3,3,1,3,2,0,0,Moderate,30
2,0,2,2,2,3,1,0,3,1,0,3,2,0,0,1,3,1,0,3,Moderate,29
3,0,3,2,2,0,1,0,0,2,0,1,3,1,3,3,2,0,0,1,Moderate,27
3,0,1,0,1,3,3,1,1,2,1,2,3,1,0,1,2,0,3,2,Moderate,30
2,0,1,2,0,0,0,1,0,2,0,2,3,2,1,0,0,0,1,3,Borderline,20
3,1,2,2,1,2,3,3,0,3,1,3,2,2,3,0,2,0,2,3,Severe,38
3,2,2,2,1,0,0,0,1,2,3,2,2,2,0,0,0,1,3,2,Moderate,28
3,2,1,0,0,1,2,2,1,1,2,2,1,3,2,3,0,2,2,1,Severe,31
2,3,3,2,3,0,0,1,2,0,1,3,0,3,0,3,3,0,1,2,Severe,32
1,3,3,2,1,0,2,2,3,2,3,0,0,3,0,2,1,1,0,3,Severe,32
1,0,3,3,2,3,2,3,3,2,1,0,0,1,1,3,0,2,2,3,Severe,35
1,1,3,3,3,2,1,0,0,3,0,3,1,2,0,3,0,2,0,2,Moderate,30
1,0,3,0,1,1,0,0,3,0,3,3,0,0,2,0,2,0,1,1,Moderate,21
3,0,0,3,2,3,3,0,0,0,0,1,1,3,0,2,2,0,0,3,Moderate,26
3,1,0,2,1,0,0,0,1,3,0,2,2,3,1,2,2,1,0,2,Moderate,26
3,2,3,0,1,1,0,1,1,0,2,0,0,3,2,2,1,2,0,3,Moderate,27
3,1,1,1,3,0,2,1,3,1,1,1,1,2,1,3,2,0,2,1,Moderate,30
3,1,3,2,1,1,3,0,2,3,3,3,3,1,2,2,0,1,2,3,Severe,39
3,1,2,3,1,1,2,0,2,1,2,2,0,0,0,3,1,0,2,3,Moderate,29
3,2,0,0,2,3,0,1,0,0,1,3,2,2,3,2,2,0,1,0,Moderate,27
2,0,1,3,0,1,2,2,2,3,0,0,2,1,3,2,0,3,2,1,Moderate,30
1,2,0,3,3,3,1,1,2,0,0,3,3,3,2,2,0,3,3,0,Severe,35
1,1,1,2,1,0,3,3,2,1,2,0,2,3,1,3,1,3,0,0,Moderate,30
0,0,1,3,0,0,2,3,2,0,0,0,0,2,3,2,2,3,2,1,Moderate,26
1,0,2,0,3,2,1,0,3,0,0,0,3,0,3,2,2,0,0,0,Moderate,22
2,0,1,1,1,2,2,0,1,3,0,0,2,3,1,2,1,1,2,0,Moderate,25
3,0,2,2,3,0,1,2,1,3,0,1,0,3,3,3,2,1,3,3,Severe,36
0,3,2,1,1,3,1,3,1,2,2,1,3,2,3,0,1,0,3,3,Severe,35
1,0,0,2,3,1,3,0,3,3,1,3,2,3,1,0,2,2,0,3,Severe,33
3,1,1,3,0,3,0,0,0,0,0,2,1,1,3,0,1,1,3,3,Moderate,26
0,1,1,2,2,0,1,3,3,0,2,2,2,3,1,3,3,1,2,2,Severe,34
1,0,0,2,0,2,0,1,1,0,2,2,3,3,1,2,3,1,2,1,Moderate,27
0,3,1,2,0,3,2,0,1,2,3,1,2,0,0,2,0,1,3,3,Moderate,29
1,1,0,2,1,0,2,0,3,0,2,3,3,3,3,2,1,0,1,0,Moderate,28
0,0,2,2,0,2,2,1,2,3,2,1,2,1,2,3,0,1,1,3,Moderate,30
0,1,3,2,3,2,3,1,3,1,1,2,1,3,0,1,0,3,1,3,Severe,34
0,3,2,0,1,2,1,2,3,0,0,2,1,0,1,1,3,3,2,2,Moderate,29
